run_id,scenario_id,group_id,kind,root_cause_set,n_root_causes,fault_type_set,fault_Sequence_Recommender,fault_User_Behavior_Analyzer,fault_Product_Analyzer,fault_Recommendation_Synthesizer,window_start,window_end,trace_id,e2e_latency_ms,http_status,http_success,span_Sequence_Recommender_duration_ms,span_Sequence_Recommender_duration_corrected_ms,span_Sequence_Recommender_subllm_overhead_ms,span_Sequence_Recommender_status,span_Sequence_Recommender_child_httpx_count,span_Sequence_Recommender_child_sasrec_requests_count,span_Sequence_Recommender_child_max_duration_ms,span_Sequence_Recommender_present,span_User_Behavior_Analyzer_duration_ms,span_User_Behavior_Analyzer_duration_corrected_ms,span_User_Behavior_Analyzer_subllm_overhead_ms,span_User_Behavior_Analyzer_status,span_User_Behavior_Analyzer_child_httpx_count,span_User_Behavior_Analyzer_child_sasrec_requests_count,span_User_Behavior_Analyzer_child_max_duration_ms,span_User_Behavior_Analyzer_present,span_Product_Analyzer_duration_ms,span_Product_Analyzer_duration_corrected_ms,span_Product_Analyzer_subllm_overhead_ms,span_Product_Analyzer_status,span_Product_Analyzer_child_httpx_count,span_Product_Analyzer_child_sasrec_requests_count,span_Product_Analyzer_child_max_duration_ms,span_Product_Analyzer_present,span_Recommendation_Synthesizer_duration_ms,span_Recommendation_Synthesizer_duration_corrected_ms,span_Recommendation_Synthesizer_subllm_overhead_ms,span_Recommendation_Synthesizer_status,span_Recommendation_Synthesizer_child_httpx_count,span_Recommendation_Synthesizer_child_sasrec_requests_count,span_Recommendation_Synthesizer_child_max_duration_ms,span_Recommendation_Synthesizer_present,total_span_count,error_span_count,recommendation_confidence,recommended_product_is_unknown,degrade_message_present,garbage_message_present,conv_Sequence_Recommender_text_len,conv_User_Behavior_Analyzer_text_len,conv_Product_Analyzer_text_len,conv_Recommendation_Synthesizer_text_len,host_cpu_pct,host_mem_pct,span_count_matched,wallclock_sanity_ok,note,injected,ledger_status,format_subtype,divergent_needle,divergent_needle_present,response_asin,response_asin_is_sentinel,toolcall_asin_is_sentinel,contract_first_failed_check,contract_expected_check,contract_check_matches_expected,context_drift_dropped_agent,context_drift_dropped_chars,context_drift_outcome,carrier_seq_id,non_target_injected,isolation_ok,conversation_captured,collect_backend,host_metric_source,k8s_pod_name,k8s_pod_restarts
hallu_Sequence_Recommender__r2,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:20:32.548900+00:00,2026-07-27T13:21:23.958485+00:00,63dc95e80db60c89e5c310d9c94dc276,51409.59,200,1,12762.45,7847.46,4914.99,UNSET,3,1,374.73,1,15777.47,15777.47,0.0,UNSET,2,0,247.7,1,18744.62,18744.62,0.0,UNSET,3,0,231.33,1,4085.04,4085.04,0.0,UNSET,1,0,536.74,1,99,0,0.92,0,0,0,1247,2532,3540,493,0.52,35.29,1,1,,1,injected,,hone 12 相关配件**（充电器、耳机等），因此模型判断该用户是一位 **iPhone 12 用户**，正在为设备选,1,B00EL94Z4I,,,,,,,,,1,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r3,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:21:26.732333+00:00,2026-07-27T13:22:18.930882+00:00,d2965354d2ed32b48c7560d14d2bb4db,52198.55,200,1,13979.82,8665.34,5314.48,UNSET,3,1,458.36,1,14542.93,14542.93,0.0,UNSET,2,0,500.56,1,19612.19,19612.19,0.0,UNSET,2,0,291.65,1,4032.12,4032.12,0.0,UNSET,1,0,548.24,1,89,0,0.92,0,0,0,1561,2272,3734,419,0.71,35.26,1,1,,1,injected,,Google 生态产品**，表明该用户是亚马逊智能生态的深度使用者，对语音助手 Google Assistant 有较强,1,B0791TX5P5,,,,,,,,,2,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r4,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:22:21.721839+00:00,2026-07-27T13:23:09.882792+00:00,905e319b353020fd19547135f295ff07,48160.42,200,1,13681.37,8940.8,4740.57,UNSET,3,1,355.39,1,12451.4,12451.4,0.0,UNSET,2,0,213.35,1,18302.22,18302.22,0.0,UNSET,3,0,245.36,1,3694.69,3694.69,0.0,UNSET,1,0,562.32,1,99,0,0.92,0,0,0,1175,1855,2864,388,0.65,35.41,1,1,,1,injected,,"充电器/移动电源 |
| B00BFO4XSA | 电子配件 |
| B00GGLANFY | 电子配件 |
| B00",1,B00D2BGTG2,,,,,,,,,3,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r5,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:23:12.639528+00:00,2026-07-27T13:24:01.305750+00:00,7d17a2248eac8fd7c1fadeac638d8d9b,48666.22,200,1,16708.77,10237.32,6471.45,UNSET,3,1,641.65,1,14876.16,14876.16,0.0,UNSET,2,0,1066.97,1,13923.7,13923.7,0.0,UNSET,1,0,240.41,1,3122.78,3122.78,0.0,UNSET,1,0,360.24,1,79,0,0.95,0,0,0,1349,1986,3022,371,0.74,35.42,1,1,,1,injected,,"家居用品消费者。

---

### 🏆 推荐商品 Top 5 及推荐理由

| 排名 | 商品ID | 商品名称 |",1,B00IVPU786,,,,,,,,,4,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r6,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:24:04.095539+00:00,2026-07-27T13:24:56.021434+00:00,fa4cda4fa35f33e93dbee2cea97c5034,51925.9,200,1,14870.13,9520.48,5349.66,UNSET,3,1,484.31,1,13286.81,13286.81,0.0,UNSET,2,0,388.4,1,18428.7,18428.7,0.0,UNSET,3,0,274.65,1,5313.28,5313.28,0.0,UNSET,1,0,487.87,1,99,0,0.92,0,0,0,1470,1774,2506,438,0.68,35.47,1,1,,1,injected,,"Fire平板相关产品 |
| 2 | B002VPE1WK | Fire平板相关产品 |
| 3 | B002T3H49",1,B00F2ENU92,,,,,,,,,5,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r7,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:24:58.843810+00:00,2026-07-27T13:26:04.117315+00:00,f787ff95c31f11dcb8902f7f70706081,65273.5,200,1,15281.76,9344.43,5937.33,UNSET,3,1,469.23,1,18833.84,18833.84,0.0,UNSET,2,0,332.3,1,26630.44,26630.44,0.0,UNSET,3,0,240.59,1,4493.22,4493.22,0.0,UNSET,1,0,486.97,1,99,0,0.92,0,0,0,1319,2308,4023,439,0.51,35.49,1,1,,1,injected,,"但环形灯实际上常用于直播而非专业摄影。

3. **🥉 B01FV2A30S（LP-E12电池套装）** — 与用户历史",1,B01LXDNNBW,,,,,,,,,6,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r8,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:26:06.947657+00:00,2026-07-27T13:26:55.940903+00:00,8a29519f1a1af5c3963b863e1f2f229b,48992.72,200,1,15944.74,9738.9,6205.84,UNSET,3,1,505.74,1,14761.16,14761.16,0.0,UNSET,2,0,305.99,1,14062.87,14062.87,0.0,UNSET,1,0,214.44,1,4193.03,4193.03,0.0,UNSET,1,0,388.22,1,79,0,0.92,0,0,0,1510,2171,2549,453,0.53,35.56,1,1,,1,injected,,"苹果相关设备

> 从历史序列来看，该用户明显是 **苹果生态产品的轻度用户**，偶尔购买亚马逊设备（如Fire系列、K",1,B00CX5P8FC,,,,,,,,,7,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r9,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:26:58.735796+00:00,2026-07-27T13:27:47.776974+00:00,34c54535232f071b9bae602797bb18c9,49041.18,200,1,16466.93,10277.25,6189.67,UNSET,3,1,396.86,1,11334.12,11334.12,0.0,UNSET,2,0,327.96,1,17809.14,17809.14,0.0,UNSET,2,0,287.41,1,3397.96,3397.96,0.0,UNSET,1,0,378.11,1,89,0,0.92,0,0,0,1560,1881,3525,413,0.91,35.61,1,1,,1,injected,,"三星 Galaxy Tab 10.1 英寸 |
| 🥈 2 | **B013JZCAZK** | **5.2288**",1,B00EL94Z4I,,,,,,,,,8,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r10,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:27:50.594238+00:00,2026-07-27T13:28:38.585475+00:00,62bdedb1c16be21b88a16d77dfcdd9fe,47990.7,200,1,14530.45,9389.6,5140.85,UNSET,3,2,439.61,1,12043.47,12043.47,0.0,UNSET,2,0,368.0,1,17971.32,17971.32,0.0,UNSET,3,0,263.85,1,3410.4,3410.4,0.0,UNSET,1,0,765.54,1,101,0,0.92,0,0,0,1279,1686,3960,371,0.9,35.73,1,1,,1,injected,,"食品/饮料 |
| 2 | B007JZGO6S | 食品 |
| 3 | B013IIV8N8 | 食品 |
| 4",1,B0791TX5P5,,,,,,,,,9,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
hallu_Sequence_Recommender__r11,hallu_Sequence_Recommender,hallu_Sequence_Recommender,hallucinate,Sequence_Recommender,1,hallucinate,hallucinate,none,none,none,2026-07-27T13:28:41.441526+00:00,2026-07-27T13:29:35.574777+00:00,42440103b1d9e6071f76259d7d3a6be2,54132.7,200,1,15394.82,9875.3,5519.52,UNSET,4,2,441.17,1,14851.48,14851.48,0.0,UNSET,2,0,327.54,1,20584.55,20584.55,0.0,UNSET,3,0,289.63,1,3264.87,3264.87,0.0,UNSET,1,0,431.32,1,110,0,0.92,0,0,0,1246,2305,3894,406,0.65,35.84,1,1,,1,injected,,"厨房电器设备** 有浓厚兴趣。

---

### 🏆 推荐结果 Top-5

| 排名 | 商品ID | 推荐得分 |",1,B00O27MR44,,,,,,,,,10,,1,1,k8s,prom_container,rec-agent-58d96c96b6-xzlw6,0
