case_id,type,arity,n_distinct_roots,gt_roots,method,feature_set,top1,top5,hit@1,hit@3,hit@5,recall@R,fullhit@1,fullhit@3,fullhit@5,ndcg@1,ndcg@3,ndcg@5,avg@1,avg@3,avg@5,mrr
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,BARO,full,search,search;cart;checkout;user;rec-agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed0,full,order,order;backend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed1,full,order,order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed2,full,sasrec,sasrec;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed3,full,inventory,inventory;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed4,full,sasrec,sasrec;inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,delta_ratio,full,host,host;checkout;pricing;catalog;user,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,delta_z,full,review-query,review-query;user;host;sasrec;order,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.3333333333333333
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,BARO,resource,search,search;user;review-query;cart;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed0,resource,cart,cart;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed1,resource,order,order;catalog-gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed2,resource,inventory,inventory;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed3,resource,sasrec,sasrec;order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,RCD_seed4,resource,cart,cart;search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,delta_ratio,resource,host,host;catalog-gw;order;catalog;checkout,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_res-host_cpu_single-k8s-v2-formal-r1-20260817142302,s05,single,1,host,delta_z,resource,review-query,review-query;user;host;sasrec;order,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.3333333333333333
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,BARO,full,pricing,pricing;sasrec;checkout;host;cart,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.38685280723454163,0.38685280723454163,0.0,0.5,0.5,0.3
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed0,full,review-query,review-query;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed1,full,pricing,pricing;review-query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed2,full,review-query,review-query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed3,full,review-query,review-query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed4,full,pricing,pricing;search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,delta_ratio,full,sasrec,sasrec;host;backend;checkout;order,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,0.5833333333333334
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,delta_z,full,sasrec,sasrec;mysql;host;user;cart,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,0.5384615384615384
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,BARO,resource,sasrec,sasrec;host;catalog-gw;cart;catalog,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876,0.5,1.0,1.0,0.6666666666666666
